id,homicidios,name,populacaototal
1,17,Aerolândia,11.360
2,2,Aeroporto,8.618
3,20,José de Alencar,16.003
4,8,Aldeota,42.361
5,10,Alto da Balança,12.814
6,21,Álvaro Weyne,23.690
7,0, Amadeu Furtado,11.703
8,18,Ancuri,20.070
9,16,Antônio Bezerra,25.846
10,18,Autran Nunes,21.208
11,0, De Lourdes, 3.370
12,70,Barra do Ceará,72.423
13,45,Barroso,29.847
14,17,Bela Vista,16.754
15,2,Benfica / Gentilândia, 12.954
16,0,Bom Futuro,6.405
17,53,Bom Jardim,37.758
18,25,Bonsucesso,41.198
19,19,Cais do Porto,22.382
20,11,Cajazeiras,14.478
21,4,Cambeba,7.625
22,23,Canindezinho,41.202
23,17,Carlito Pamplona,29.076
24,8, Boa Vista / Castelão / Mata Galinha, 12.247
25,30,Centro,28.538
26,5,Cidade 2000,8.272
27,9,Cidade dos Funcionários,18.256
28,0,Coaçu,7.188
29,1,Cocó,20.492
30,13,Conjunto Ceará,42.894
31,15,Conjunto Esperança,16.405
32,46,Conjunto Palmeiras,36.599
33,4,Couto Fernandes,5.260
34,17,Cristo Redentor,26.717
35,11,Curió,7.636
36,2,Damas,10.719
37,5,Demócrito Rocha,10.994
38,5,Dendê,5.637
39,10,Dias Macêdo,12.111
40,3,Dionísio Torres,15.634
41,4,Dom Lustosa,13.147
42,3, Dunas / Manuel Dias Branco, 1.447
43,24,Edson Queiroz, 22.210
44,6,Vila Ellery,7.863
45,1,Luciano Cavalcante,15.543
46,1,Farias Brito,12.063
47,7,Fátima,23.309
48,10,Floresta,28.896
49,37,Genibaú,40.336
51,32,Granja Lisboa,52.042
52,26,Granja Portugal,39.651
53,0, Guajerú, 6.668
54,2,Guararapes,5.266
55,6,Henrique Jorge,26.994
56,10,Itaoca,12.477
57,8,Itaperi,22.563
58,11,Jacarecanga,14.204
59,57,Jangurussu,50.479
60,8,Jardim América,12.264
61,1,Jardim Cearense,10.103
62,31,Jardim das Oliveiras,29.571
63,6,Jardim Guanabara,14.919
64,29,Jardim Iracema,23.184
65,10,João XXIII,18.398
66,4,Joaquim Távora,23.450
67,7,Jóquei Clube,19.331
68,3,José Bonifácio,8.848
69,13,Lagoa Redonda,27.949
70,12,Maraponga,10.155
72,2,Meireles,36.982
73,46,Messejana,41.689
74,47,Mondubim,76.044
75,12,Monte Castelo,13.215
76,4,Montese,25.970
77,6, Moura Brasil, 3.765
78,10,Mucuripe,13.747
79,6,Padre Andrade,12.936
80,7, Panamericano, 8.815
81,11,Papicu,18.370
82,11,Parangaba,30.947
83,0,Parque Araxá,6.715
84,14,Parque Dois Irmãos,27.236
85,2,Parque Iracema,8.409
86,0,Parque Manibura,7.529
87,9,Parque Presidente Vargas,7.192
88,6,Parque Santa Maria, 0
89,8,Parque Santa Rosa,12.790
90,17,Parque São José,10.486
91,6,Parquelândia,14.432
92,0,Parreão,11.072
93,35,Passaré,50.940
94,12,Paupina,14.665
95,1,Pedras,1.342
96,23,Pici,42.494
97,38,Pirambu, 17.775
98,30,Planalto Ayrton Senna,39.446
99,11,Praia de Iracema,3.130
100,24, Praia do Futuro I e II, 18.587
101,25,Prefeito José Walter, 33.427
102,2,Presidente Kennedy,23.004
103,36,Quintino Cunha,47.277
104,4,Rodolfo Teófilo,19.114
105,9,Sabiaguaba,2.117
106,0,Salinas,4.298
107,0,São Bento,11.964
108,3,São Gerardo,14.505
109,24,São João do Tauape,27.598
110,13, Sapiranga/Coité, 32.158
111,21,Serrinha,28.770
112,30,Siqueira,33.628
113,2,Varjota,8.421
114,34, Vicente Pinzón, 45.518
115,9,Vila Manuel Sátiro, 37.952
116,6,Vila Pery,20.645
117,10,Vila União,15.378
118,31,Vila Velha,61.617
